similarity,name_a,type_a,mentions_a,entity_key_a,name_b,type_b,mentions_b,entity_key_b,recommendation,reason
0.9326,Internal Revenue Service,Organization,2,internal-revenue-service,U.S. Internal Revenue Service,Other,1,u-s-internal-revenue-service,MERGE,"Same agency, with/without U.S. prefix"
0.9304,ASU 2023-09,Regulation,3,asu-2023-09,ASU 2025-06,Regulation,1,asu-2025-06,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9299,tvOS 17,Product,1,tvos-17,tvOS 18,Product,1,tvos-18,DON'T MERGE,"Different OS version, or generic OS name vs a specific version - kept separate for consistency with other OS-version entities that are deliberately not merged"
0.9254,Apple Watch Ultra 2,Product,1,apple-watch-ultra-2,Apple Watch Ultra 3,Product,1,apple-watch-ultra-3,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.9241,iPhone 17,Product,1,iphone-17,iPhone 17 Pro,Product,1,iphone-17-pro,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.9235,ASU 2023-09,Regulation,3,asu-2023-09,ASU No. 2023-07,Regulation,1,asu-no-2023-07,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9218,Rule 10b5-1,Regulation,2,rule-10b5-1,Rule 10b5-1(c),Regulation,1,rule-10b5-1-c,MERGE (moderate confidence),Likely the same underlying SEC rule cited with/without subsection (c) - flagging for your own sanity check since subsection references can matter
0.9199,Apple Watch Series 9,Product,1,apple-watch-series-9,Apple Watch Series 10,Product,1,apple-watch-series-10,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.9199,ASU 2023-07,Regulation,2,asu-2023-07,ASU No. 2023-07,Regulation,1,asu-no-2023-07,MERGE,"Same ASU number, with/without 'No.' prefix"
0.9172,iPadOS 17,Product,1,ipados-17,iPadOS 18,Product,1,ipados-18,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.9147,iPhone 15,Product,1,iphone-15,iPhone 15 Pro,Product,1,iphone-15-pro,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.9122,U.S. District Court for the Northern District of California,Location,2,u-s-district-court-for-the-northern-district-of-california,California District Court,Location,2,california-district-court,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.9096,"Wearables, Home and Accessories",Product,6,wearables-home-and-accessories,Wearables and Accessories,Product,1,wearables-and-accessories,MERGE,"Same Apple reporting segment, shortened name"
0.907,Apple Watch Series 10,Product,1,apple-watch-series-10,Apple Watch Series 11,Product,1,apple-watch-series-11,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.9059,iPhone 15,Product,1,iphone-15,iPhone 15 Plus,Product,1,iphone-15-plus,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.903,ASU 2024-03,Regulation,1,asu-2024-03,ASU No. 2023-07,Regulation,1,asu-no-2023-07,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.9011,Apple Inc. 2014 Employee Stock Plan,Product,5,apple-inc-2014-employee-stock-plan,Apple Inc. Employee Stock Purchase Plan,Product,3,apple-inc-employee-stock-purchase-plan,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8985,ASU 2025-06,Regulation,1,asu-2025-06,ASU No. 2023-07,Regulation,1,asu-no-2023-07,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.8984,Non-current marketable debt securities,Metric,1,non-current-marketable-debt-securities,Marketable debt securities,Product,1,marketable-debt-securities,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8967,AirPods,Product,3,airpods,AirPods 4,Product,1,airpods-4,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.894,watchOS 10,Product,1,watchos-10,watchOS 11,Product,1,watchos-11,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8935,ASU 2025-01,Regulation,1,asu-2025-01,ASU No. 2023-07,Regulation,1,asu-no-2023-07,DON'T MERGE,Different ASU (Accounting Standards Update) numbers - these are distinct FASB documents despite similar naming
0.8929,Apple Inc. 2022 Employee Stock Plan,Product,5,apple-inc-2022-employee-stock-plan,Apple Inc. 2014 Employee Stock Plan,Product,5,apple-inc-2014-employee-stock-plan,DON'T MERGE,Different stock plan (different year or different plan type) - distinct plans
0.8904,General Court of the Court of Justice of the European Union,Regulation,3,general-court-of-the-court-of-justice-of-the-european-union,European Court of Justice,Regulation,3,european-court-of-justice,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8894,tvOS 18,Product,1,tvos-18,tvOS 26,Product,1,tvos-26,DON'T MERGE,"Different OS version, or generic OS name vs a specific version - kept separate for consistency with other OS-version entities that are deliberately not merged"
0.8855,Net Income 2022,Metric,1,net-income-2022,Net Income 2021,Metric,1,net-income-2021,DON'T MERGE,"Different fiscal year - distinct metric values, not the same fact"
0.8831,iPadOS 18,Product,1,ipados-18,iPadOS 26,Product,1,ipados-26,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8803,Apple Inc. 2022 Employee Stock Plan,Product,5,apple-inc-2022-employee-stock-plan,Apple Inc. Employee Stock Purchase Plan,Product,3,apple-inc-employee-stock-purchase-plan,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8786,Apple Watch Series 9,Product,1,apple-watch-series-9,Apple Watch Series 11,Product,1,apple-watch-series-11,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8774,U.S.,Location,4,u-s,United States,Location,6,united-states,MERGE,"Same country, abbreviation vs full name"
0.8768,Products Net Sales 2023,Metric,1,products-net-sales-2023,Total Net Sales 2023,Metric,1,total-net-sales-2023,DON'T MERGE,"Different net-sales breakdown (products vs services vs total, or different year) - distinct line items"
0.8743,Net Income 2023,Metric,1,net-income-2023,Net Income 2021,Metric,1,net-income-2021,DON'T MERGE,"Different fiscal year - distinct metric values, not the same fact"
0.8733,iPhone 15 Pro,Product,1,iphone-15-pro,iPhone 15 Pro Max,Product,1,iphone-15-pro-max,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.868,Apple Inc. Non-Employee Director Stock Plan,Product,3,apple-inc-non-employee-director-stock-plan,Non-Employee Director Stock Plan,Product,1,non-employee-director-stock-plan,MERGE,"Same plan, with/without company prefix"
0.8669,iPhone 17 Pro,Product,1,iphone-17-pro,iPhone 17 Pro Max,Product,1,iphone-17-pro-max,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8668,COVID-19 pandemic,Other,2,covid-19-pandemic,COVID-19,Other,2,covid-19,MERGE,"Same event, with/without 'pandemic' suffix"
0.8666,"Property, plant and equipment",Metric,2,property-plant-and-equipment,"Property, plant and equipment, net",Metric,2,property-plant-and-equipment-net,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8665,Apple Inc. 2014 Employee Stock Plan,Product,5,apple-inc-2014-employee-stock-plan,2014 Employee Stock Plan,Product,1,2014-employee-stock-plan,MERGE,"Same plan, with/without company prefix"
0.8662,iPad Pro,Product,2,ipad-pro,iPad,Product,15,ipad,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8659,tvOS 17,Product,1,tvos-17,tvOS 26,Product,1,tvos-26,DON'T MERGE,"Different OS version, or generic OS name vs a specific version - kept separate for consistency with other OS-version entities that are deliberately not merged"
0.8617,EU Digital Markets Act,Regulation,1,eu-digital-markets-act,Digital Markets Act,Regulation,4,digital-markets-act,MERGE,"Same act; only one Digital Markets Act discussed in this corpus, no competing sibling entity"
0.8594,iPhone 16,Product,1,iphone-16,iPhone 17,Product,1,iphone-17,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8584,visionOS,Other,3,visionos,visionOS 2,Product,1,visionos-2,DON'T MERGE,"Different OS version, or generic OS name vs a specific version - kept separate for consistency with other OS-version entities that are deliberately not merged"
0.8559,tvOS,Other,2,tvos,tvOS 18,Product,1,tvos-18,DON'T MERGE,"Different OS version, or generic OS name vs a specific version - kept separate for consistency with other OS-version entities that are deliberately not merged"
0.8557,MacBook Air 15,Product,1,macbook-air-15,MacBook Air,Product,2,macbook-air,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8531,iPhone 15 Plus,Product,1,iphone-15-plus,iPhone 15 Pro,Product,1,iphone-15-pro,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8525,iOS 17,Product,1,ios-17,iPhone 17,Product,1,iphone-17,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8518,AirPods,Product,3,airpods,AirPods Pro 3,Product,1,airpods-pro-3,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8517,iPadOS,Product,5,ipados,iPadOS 18,Product,1,ipados-18,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8508,iPhone 15,Product,1,iphone-15,iPhone 16,Product,1,iphone-16,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8497,watchOS 10,Product,1,watchos-10,watchOS,Other,2,watchos,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8449,Mac Pro,Product,1,mac-pro,MacBook Pro,Product,2,macbook-pro,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8431,iPadOS 17,Product,1,ipados-17,iPadOS 26,Product,1,ipados-26,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8422,iPhone 15 Pro Max,Product,1,iphone-15-pro-max,iPhone 17 Pro Max,Product,1,iphone-17-pro-max,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8416,Apple Inc. 2022 Employee Stock Plan,Product,5,apple-inc-2022-employee-stock-plan,2022 Employee Stock Plan,Product,3,2022-employee-stock-plan,MERGE,"Same plan, with/without company prefix"
0.8388,iOS 17,Product,1,ios-17,iOS 18,Product,1,ios-18,DON'T MERGE,"Different OS version, or generic OS name vs a specific version - kept separate for consistency with other OS-version entities that are deliberately not merged"
0.8388,AirPods 4,Product,1,airpods-4,AirPods Pro 3,Product,1,airpods-pro-3,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8337,tvOS 17,Product,1,tvos-17,tvOS,Other,2,tvos,DON'T MERGE,"Different OS version, or generic OS name vs a specific version - kept separate for consistency with other OS-version entities that are deliberately not merged"
0.831,iPhone 15,Product,1,iphone-15,iPhone 17,Product,1,iphone-17,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8293,iPadOS 17,Product,1,ipados-17,iPadOS,Product,5,ipados,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8287,Commercial paper program,Metric,1,commercial-paper-program,Commercial Paper,Product,2,commercial-paper,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8247,Net Income,Metric,5,net-income,Net Income 2021,Metric,1,net-income-2021,DON'T MERGE,"Different fiscal year - distinct metric values, not the same fact"
0.8226,Apple Inc. Employee Stock Purchase Plan,Product,3,apple-inc-employee-stock-purchase-plan,Apple Inc. Non-Employee Director Stock Plan,Product,3,apple-inc-non-employee-director-stock-plan,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8221,MacBook Pro 14,Product,1,macbook-pro-14,MacBook Pro 16,Product,1,macbook-pro-16,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8219,European Union Digital Markets Act,Regulation,1,european-union-digital-markets-act,Digital Markets Act,Regulation,4,digital-markets-act,MERGE,"Same act; only one Digital Markets Act discussed in this corpus, no competing sibling entity"
0.8215,iPhone 15 Plus,Product,1,iphone-15-plus,iPhone 15 Pro Max,Product,1,iphone-15-pro-max,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8199,Digital Markets Act,Regulation,4,digital-markets-act,Digital Markets Authority,Regulation,1,digital-markets-authority,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.819,Apple Watch SE 3,Product,1,apple-watch-se-3,Apple Watch Ultra 3,Product,1,apple-watch-ultra-3,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8179,Products Net Sales 2023,Metric,1,products-net-sales-2023,Services Net Sales 2023,Metric,1,services-net-sales-2023,DON'T MERGE,"Different net-sales breakdown (products vs services vs total, or different year) - distinct line items"
0.8175,Apple Inc. 2014 Employee Stock Plan,Product,5,apple-inc-2014-employee-stock-plan,Apple Inc. Non-Employee Director Stock Plan,Product,3,apple-inc-non-employee-director-stock-plan,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8149,iPhone 15,Product,1,iphone-15,iPhone 15 Pro Max,Product,1,iphone-15-pro-max,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8143,Apple Inc. 2022 Employee Stock Plan,Product,5,apple-inc-2022-employee-stock-plan,Apple Inc. Non-Employee Director Stock Plan,Product,3,apple-inc-non-employee-director-stock-plan,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.814,U.S. Securities and Exchange Commission,Regulation,4,u-s-securities-and-exchange-commission,U.S. agency securities,Metric,1,u-s-agency-securities,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8131,iPhone 17,Product,1,iphone-17,iPhone 17 Pro Max,Product,1,iphone-17-pro-max,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8123,Services Net Sales 2023,Metric,1,services-net-sales-2023,Total Net Sales 2023,Metric,1,total-net-sales-2023,DON'T MERGE,"Different net-sales breakdown (products vs services vs total, or different year) - distinct line items"
0.812,iOS 17,Product,1,ios-17,iPhone 17 Pro,Product,1,iphone-17-pro,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.8101,iPhone 15 Pro,Product,1,iphone-15-pro,iPhone 17 Pro,Product,1,iphone-17-pro,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.808,Net Income,Metric,5,net-income,Net Income 2023,Metric,1,net-income-2023,DON'T MERGE,"Different fiscal year - distinct metric values, not the same fact"
0.808,Apple Watch,Product,4,apple-watch,Apple Watch Series 10,Product,1,apple-watch-series-10,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.804,watchOS,Other,2,watchos,watchOS 11,Product,1,watchos-11,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8036,iPhone 15,Product,1,iphone-15,iPhone,Product,14,iphone,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8035,Marketable securities,Metric,4,marketable-securities,Marketable debt securities,Product,1,marketable-debt-securities,DON'T MERGE,"Textually similar but appear to be distinct entities on inspection (different scope, subset/superset, or unrelated concept sharing vocabulary)"
0.802,iPhone 16e,Product,1,iphone-16e,iPhone 17,Product,1,iphone-17,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8016,iPad,Product,15,ipad,iPad Air,Product,2,ipad-air,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8012,MacBook Pro 14,Product,1,macbook-pro-14,MacBook Pro,Product,2,macbook-pro,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
0.8002,Mac Pro,Product,1,mac-pro,Mac,Product,14,mac,DON'T MERGE,"Different product / product version - shared product-family vocabulary caused a high similarity score, but these are distinct products"
